t, viconX, viconY, viconZ, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, uwbD, uwbAntId, uwbRqstrId
1501395762.116624117,-0.001478777,-2.857440233,0.214024216,0.007169787,-0.001931210,1.539067984,0.000439483,0.000772207,0.089999996,0.100000000,0.100000000,0.100000000,5.955999851,16.000000000,2.000000000
1501395762.132524729,-0.001331588,-2.857421875,0.214108154,0.007026192,-0.002087243,1.539202571,0.000439483,0.000772207,0.089999996,0.100000000,0.100000000,0.100000000,5.894999981,17.000000000,2.000000000
1501395762.164586544,-0.001417973,-2.857442141,0.214034617,0.007013299,-0.002006723,1.539195180,0.000000099,0.000000037,0.229999989,0.100000000,0.100000000,0.100000000,5.493999958,0.000000000,1.000000000
1501395762.180518150,-0.001375846,-2.857414484,0.214038521,0.006848972,-0.001832317,1.539302588,0.000000099,0.000000037,0.229999989,0.100000000,0.100000000,0.100000000,5.439000130,1.000000000,1.000000000
1501395762.196644306,-0.001375846,-2.857414484,0.214038521,0.006848972,-0.001832317,1.539302588,-4.708535194,1.305989027,0.140000001,0.100000000,0.100000000,0.100000000,5.967000008,0.000000000,2.000000000
1501395762.212783337,-0.001412647,-2.857435942,0.214068413,0.006822770,-0.001714743,1.539314270,-4.708535194,1.305989027,0.140000001,0.100000000,0.100000000,0.100000000,6.012000084,1.000000000,2.000000000
1501395762.228599310,-0.001380964,-2.857450247,0.214062735,0.007107837,-0.001758991,1.539202929,-4.708535194,1.305989027,0.140000001,0.100000000,0.100000000,0.100000000,5.383999825,16.000000000,1.000000000
1501395762.244718552,-0.001380964,-2.857450247,0.214062735,0.007107837,-0.001758991,1.539202929,-2.875811338,0.153956145,0.140000001,0.100000000,0.100000000,0.100000000,5.440000057,17.000000000,1.000000000
1501395762.260379791,-0.001273366,-2.857411861,0.214075640,0.006918069,-0.001742816,1.539145350,-2.875811338,0.153956145,0.140000001,0.100000000,0.100000000,0.100000000,5.953000069,16.000000000,2.000000000
1501395762.276732922,-0.001273366,-2.857411861,0.214075640,0.006918069,-0.001742816,1.539145350,-2.875811338,0.153956145,0.140000001,0.100000000,0.100000000,0.100000000,5.901000023,17.000000000,2.000000000
1501395762.308513403,-0.001419068,-2.857420444,0.214062169,0.007073775,-0.002143649,1.539088845,-2.875811338,0.153956145,0.140000001,0.100000000,0.100000000,0.100000000,5.505000114,0.000000000,1.000000000
1501395762.324702740,-0.001419068,-2.857420444,0.214062169,0.007073775,-0.002143649,1.539088845,-3.356162071,0.466182500,0.170000002,0.100000000,0.100000000,0.100000000,5.440999985,1.000000000,1.000000000
1501395762.340466499,-0.001419068,-2.857420444,0.214062169,0.007073775,-0.002143649,1.539088845,-3.356162071,0.466182500,0.170000002,0.100000000,0.100000000,0.100000000,5.965000153,0.000000000,2.000000000
1501395762.356475592,-0.001364732,-2.857415676,0.214071959,0.007102407,-0.002154023,1.539149165,-3.356162071,0.466182500,0.170000002,0.100000000,0.100000000,0.100000000,6.012000084,1.000000000,2.000000000
1501395762.372641325,-0.001364732,-2.857415676,0.214071959,0.007102407,-0.002154023,1.539149165,-3.068755388,0.015302938,0.179999992,0.100000000,0.100000000,0.100000000,5.393000126,16.000000000,1.000000000
1501395762.388563871,-0.001364732,-2.857415676,0.214071959,0.007102407,-0.002154023,1.539149165,-3.068755388,0.015302938,0.179999992,0.100000000,0.100000000,0.100000000,5.438000202,17.000000000,1.000000000
1501395762.404502153,-0.001302744,-2.857407093,0.214120239,0.007347818,-0.002180835,1.539080381,-3.068755388,0.015302938,0.179999992,0.100000000,0.100000000,0.100000000,5.953000069,16.000000000,2.000000000
1501395762.420803070,-0.001302744,-2.857407093,0.214120239,0.007347818,-0.002180835,1.539080381,-2.895717621,-0.126402915,0.189999998,0.100000000,0.100000000,0.100000000,5.901000023,17.000000000,2.000000000
1501395762.452612162,-0.001351048,-2.857404709,0.214083105,0.007287760,-0.002124950,1.539057136,-2.895717621,-0.126402915,0.189999998,0.100000000,0.100000000,0.100000000,5.506999969,0.000000000,1.000000000
1501395762.484983444,-0.001292429,-2.857419252,0.214077875,0.007113585,-0.002202121,1.539266467,-2.872060776,-0.111648552,0.099999994,0.100000000,0.100000000,0.100000000,5.973999977,0.000000000,2.000000000
1501395762.500850201,-0.001292429,-2.857419252,0.214077875,0.007113585,-0.002202121,1.539266467,-2.872060776,-0.111648552,0.099999994,0.100000000,0.100000000,0.100000000,6.018000126,1.000000000,2.000000000
1501395762.516708612,-0.001292429,-2.857419252,0.214077875,0.007113585,-0.002202121,1.539266467,-2.872060776,-0.111648552,0.099999994,0.100000000,0.100000000,0.100000000,5.381999969,16.000000000,1.000000000
1501395762.532401800,-0.001395759,-2.857433081,0.214103431,0.007438740,-0.002079915,1.539133072,-2.872060776,-0.111648552,0.099999994,0.100000000,0.100000000,0.100000000,5.436999798,17.000000000,1.000000000
1501395762.548604727,-0.001395759,-2.857433081,0.214103431,0.007438740,-0.002079915,1.539133072,-2.866180897,-0.118246675,0.170000002,0.100000000,0.100000000,0.100000000,5.949999809,16.000000000,2.000000000
1501395762.564657450,-0.001427306,-2.857421160,0.214037001,0.007109873,-0.001846625,1.539143324,-2.866180897,-0.118246675,0.170000002,0.100000000,0.100000000,0.100000000,5.893000126,17.000000000,2.000000000
1501395762.596482754,-0.001485626,-2.857443333,0.214017272,0.007029945,-0.001811248,1.539092183,-2.853325844,-0.084542789,0.140000001,0.100000000,0.100000000,0.100000000,5.508999825,0.000000000,1.000000000
1501395762.612426996,-0.001313124,-2.857400417,0.214089453,0.007110034,-0.001851980,1.539304852,-2.853325844,-0.084542789,0.140000001,0.100000000,0.100000000,0.100000000,5.445000172,1.000000000,1.000000000
1501395762.628736258,-0.001313124,-2.857400417,0.214089453,0.007110034,-0.001851980,1.539304852,-2.853325844,-0.084542789,0.140000001,0.100000000,0.100000000,0.100000000,5.967000008,0.000000000,2.000000000
1501395762.644691706,-0.001313124,-2.857400417,0.214089453,0.007110034,-0.001851980,1.539304852,-2.858368158,-0.080124959,0.170000002,0.100000000,0.100000000,0.100000000,6.013000011,1.000000000,2.000000000
1501395762.660739422,-0.001339116,-2.857402325,0.214078411,0.007161874,-0.002196661,1.539139152,-2.858368158,-0.080124959,0.170000002,0.100000000,0.100000000,0.100000000,5.375000000,16.000000000,1.000000000
1501395762.692699671,-0.001339116,-2.857402325,0.214078411,0.007161874,-0.002196661,1.539139152,-2.851950169,-0.088346191,0.149999991,0.100000000,0.100000000,0.100000000,5.953000069,16.000000000,2.000000000
1501395762.708664417,-0.001312433,-2.857407331,0.214080751,0.007009463,-0.001915661,1.539088488,-2.851950169,-0.088346191,0.149999991,0.100000000,0.100000000,0.100000000,5.909999847,17.000000000,2.000000000
1501395762.740414619,-0.001355259,-2.857424021,0.214094803,0.007013557,-0.002046754,1.539301634,-2.851181507,-0.076612361,0.129999995,0.100000000,0.100000000,0.100000000,5.506999969,0.000000000,1.000000000
1501395762.756801844,-0.001352161,-2.857418299,0.214104995,0.007150476,-0.002229640,1.539184809,-2.851181507,-0.076612361,0.129999995,0.100000000,0.100000000,0.100000000,5.446000099,1.000000000,1.000000000
1501395762.772745371,-0.001352161,-2.857418299,0.214104995,0.007150476,-0.002229640,1.539184809,-2.851181507,-0.076612361,0.129999995,0.100000000,0.100000000,0.100000000,5.965000153,0.000000000,2.000000000
1501395762.788924694,-0.001412245,-2.857417345,0.214055434,0.006999990,-0.001936950,1.539187789,-2.851181507,-0.076612361,0.129999995,0.100000000,0.100000000,0.100000000,6.008999825,1.000000000,2.000000000
1501395762.804426908,-0.001349806,-2.857420683,0.214089409,0.007387392,-0.002142596,1.539015889,-2.852219343,-0.077302478,0.179999992,0.100000000,0.100000000,0.100000000,5.379000187,16.000000000,1.000000000
1501395762.820886374,-0.001349806,-2.857420683,0.214089409,0.007387392,-0.002142596,1.539015889,-2.852219343,-0.077302478,0.179999992,0.100000000,0.100000000,0.100000000,5.439000130,17.000000000,1.000000000
1501395762.836626291,-0.001408643,-2.857423306,0.214079797,0.007223026,-0.001922027,1.539039373,-2.852219343,-0.077302478,0.179999992,0.100000000,0.100000000,0.100000000,5.956999779,16.000000000,2.000000000
1501395762.852535248,-0.001414441,-2.857411146,0.214075759,0.007133882,-0.001858247,1.539081812,-2.852219343,-0.077302478,0.179999992,0.100000000,0.100000000,0.100000000,5.900000095,17.000000000,2.000000000
1501395762.884524584,-0.001370596,-2.857416391,0.214069292,0.007079411,-0.001886802,1.539111614,-2.848789454,-0.061940055,0.149999991,0.100000000,0.100000000,0.100000000,5.495999813,0.000000000,1.000000000
1501395762.900706053,-0.001370596,-2.857416391,0.214069292,0.007079411,-0.001886802,1.539111614,-2.848789454,-0.061940055,0.149999991,0.100000000,0.100000000,0.100000000,5.448999882,1.000000000,1.000000000
1501395762.916514874,-0.001370596,-2.857416391,0.214069292,0.007079411,-0.001886802,1.539111614,-2.846534252,-0.053322922,0.199999988,0.100000000,0.100000000,0.100000000,5.960999966,0.000000000,2.000000000
1501395762.932594776,-0.001370334,-2.857430220,0.214087144,0.007129860,-0.001941740,1.539165258,-2.846534252,-0.053322922,0.199999988,0.100000000,0.100000000,0.100000000,6.007999897,1.000000000,2.000000000
1501395762.948920250,-0.001370334,-2.857430220,0.214087144,0.007129860,-0.001941740,1.539165258,-2.846534252,-0.053322922,0.199999988,0.100000000,0.100000000,0.100000000,5.381000042,16.000000000,1.000000000
1501395762.965321064,-0.001444396,-2.857431412,0.214050427,0.007090444,-0.001816820,1.539299130,-2.846458435,-0.058413453,0.149999991,0.100000000,0.100000000,0.100000000,5.438000202,17.000000000,1.000000000
1501395762.980557919,-0.001370035,-2.857424736,0.214103043,0.006925926,-0.002029358,1.539211750,-2.846458435,-0.058413453,0.149999991,0.100000000,0.100000000,0.100000000,5.947000027,16.000000000,2.000000000
1501395762.996526957,-0.001370035,-2.857424736,0.214103043,0.006925926,-0.002029358,1.539211750,-2.846458435,-0.058413453,0.149999991,0.100000000,0.100000000,0.100000000,5.900000095,17.000000000,2.000000000
1501395763.028467894,-0.001398363,-2.857406616,0.214053914,0.007052767,-0.001874690,1.539225578,-2.843922377,-0.035955586,0.219999999,0.100000000,0.100000000,0.100000000,5.502999783,0.000000000,1.000000000
1501395763.044494152,-0.001398363,-2.857406616,0.214053914,0.007052767,-0.001874690,1.539225578,-2.843922377,-0.035955586,0.219999999,0.100000000,0.100000000,0.100000000,5.451000214,1.000000000,1.000000000
1501395763.060452700,-0.001363167,-2.857404947,0.214096129,0.007216371,-0.002192045,1.539122343,-2.843922377,-0.035955586,0.219999999,0.100000000,0.100000000,0.100000000,5.962999821,0.000000000,2.000000000
1501395763.077161551,-0.001363167,-2.857404947,0.214096129,0.007216371,-0.002192045,1.539122343,-2.842953682,-0.038912110,0.140000001,0.100000000,0.100000000,0.100000000,6.008999825,1.000000000,2.000000000
1501395763.092934847,-0.001324675,-2.857427835,0.214109123,0.007097383,-0.002043370,1.539235711,-2.842953682,-0.038912110,0.140000001,0.100000000,0.100000000,0.100000000,5.390999794,16.000000000,1.000000000
1501395763.111141920,-0.001405912,-2.857424021,0.214076236,0.007203475,-0.001984737,1.539057732,-2.842953682,-0.038912110,0.140000001,0.100000000,0.100000000,0.100000000,5.436999798,17.000000000,1.000000000
1501395763.127492428,-0.001405912,-2.857424021,0.214076236,0.007203475,-0.001984737,1.539057732,-2.842953682,-0.038912110,0.140000001,0.100000000,0.100000000,0.100000000,5.967999935,16.000000000,2.000000000
1501395763.140798092,-0.001405912,-2.857424021,0.214076236,0.007203475,-0.001984737,1.539057732,-2.842686415,-0.043225195,0.170000002,0.100000000,0.100000000,0.100000000,5.896999836,17.000000000,2.000000000
1501395763.172840118,-0.001376973,-2.857414007,0.214084849,0.007107031,-0.002022785,1.539197445,-2.842686415,-0.043225195,0.170000002,0.100000000,0.100000000,0.100000000,5.502999783,0.000000000,1.000000000
1501395763.188672304,-0.001273662,-2.857393503,0.214100540,0.007146071,-0.002171841,1.539202929,-2.842686415,-0.043225195,0.170000002,0.100000000,0.100000000,0.100000000,5.451000214,1.000000000,1.000000000
1501395763.204735994,-0.001309118,-2.857393980,0.214121848,0.007187527,-0.001996157,1.539129734,-2.843147516,-0.025093483,0.189999998,0.100000000,0.100000000,0.100000000,5.968999863,0.000000000,2.000000000
1501395763.221123219,-0.001309118,-2.857393980,0.214121848,0.007187527,-0.001996157,1.539129734,-2.843147516,-0.025093483,0.189999998,0.100000000,0.100000000,0.100000000,6.014999866,1.000000000,2.000000000
1501395763.236758709,-0.001309118,-2.857393980,0.214121848,0.007187527,-0.001996157,1.539129734,-2.843147516,-0.025093483,0.189999998,0.100000000,0.100000000,0.100000000,5.387000084,16.000000000,1.000000000
1501395763.252610445,-0.001442867,-2.857428789,0.214025766,0.007106707,-0.001937775,1.539050221,-2.842643023,-0.030705400,0.149999991,0.100000000,0.100000000,0.100000000,5.434000015,17.000000000,1.000000000
1501395763.268922806,-0.001442867,-2.857428789,0.214025766,0.007106707,-0.001937775,1.539050221,-2.842643023,-0.030705400,0.149999991,0.100000000,0.100000000,0.100000000,5.960000038,16.000000000,2.000000000
1501395763.284865141,-0.001341943,-2.857403994,0.214107871,0.007071661,-0.001878445,1.539246559,-2.842643023,-0.030705400,0.149999991,0.100000000,0.100000000,0.100000000,5.897999763,17.000000000,2.000000000
1501395763.316752434,-0.001357759,-2.857435226,0.214074373,0.007348026,-0.002113756,1.539077520,-2.838633299,-0.023285713,0.099999994,0.100000000,0.100000000,0.100000000,5.497000217,0.000000000,1.000000000
1501395763.348803997,-0.001352155,-2.857393503,0.214082748,0.007017002,-0.001952142,1.539237738,-2.835947990,-0.019491218,0.149999991,0.100000000,0.100000000,0.100000000,5.971000195,0.000000000,2.000000000
1501395763.365024090,-0.001352155,-2.857393503,0.214082748,0.007017002,-0.001952142,1.539237738,-2.835947990,-0.019491218,0.149999991,0.100000000,0.100000000,0.100000000,6.011000156,1.000000000,2.000000000
1501395763.380812168,-0.001416248,-2.857403994,0.214104220,0.007150678,-0.001961880,1.539148688,-2.835947990,-0.019491218,0.149999991,0.100000000,0.100000000,0.100000000,5.376999855,16.000000000,1.000000000
1501395763.396787167,-0.001416248,-2.857403994,0.214104220,0.007150678,-0.001961880,1.539148688,-2.835947990,-0.019491218,0.149999991,0.100000000,0.100000000,0.100000000,5.435999870,17.000000000,1.000000000
1501395763.412603140,-0.001453945,-2.857470989,0.214053616,0.007155912,-0.001861133,1.539310336,-2.835947990,-0.019491218,0.149999991,0.100000000,0.100000000,0.100000000,5.954999924,16.000000000,2.000000000
1501395763.428746939,-0.001366950,-2.857416868,0.214075014,0.007223490,-0.001975345,1.539097905,-2.837623119,-0.019443128,0.179999992,0.100000000,0.100000000,0.100000000,5.901000023,17.000000000,2.000000000
1501395763.460529327,-0.001420975,-2.857423067,0.214065418,0.006992414,-0.001691629,1.539183140,-2.837623119,-0.019443128,0.179999992,0.100000000,0.100000000,0.100000000,5.502999783,0.000000000,1.000000000
1501395763.476587057,-0.001420975,-2.857423067,0.214065418,0.006992414,-0.001691629,1.539183140,-2.834160805,-0.005888603,0.179999992,0.100000000,0.100000000,0.100000000,5.438000202,1.000000000,1.000000000
1501395763.492915869,-0.001420975,-2.857423067,0.214065418,0.006992414,-0.001691629,1.539183140,-2.834160805,-0.005888603,0.179999992,0.100000000,0.100000000,0.100000000,5.960999966,0.000000000,2.000000000
1501395763.509039879,-0.001394405,-2.857421398,0.214014560,0.006796291,-0.002049696,1.539346695,-2.834160805,-0.005888603,0.179999992,0.100000000,0.100000000,0.100000000,6.014999866,1.000000000,2.000000000
1501395763.524582863,-0.001394405,-2.857421398,0.214014560,0.006796291,-0.002049696,1.539346695,-2.835927486,-0.007408137,0.189999998,0.100000000,0.100000000,0.100000000,5.386000156,16.000000000,1.000000000
1501395763.556568861,-0.001434733,-2.857436895,0.214044362,0.006946111,-0.001859004,1.539207578,-2.835927486,-0.007408137,0.189999998,0.100000000,0.100000000,0.100000000,5.961999893,16.000000000,2.000000000
1501395763.572921038,-0.001434733,-2.857436895,0.214044362,0.006946111,-0.001859004,1.539207578,-2.837270737,-0.009474196,0.149999991,0.100000000,0.100000000,0.100000000,5.897999763,17.000000000,2.000000000
1501395763.604689121,-0.001302749,-2.857427597,0.214127243,0.007115217,-0.002245191,1.539124489,-2.837270737,-0.009474196,0.149999991,0.100000000,0.100000000,0.100000000,5.500999928,0.000000000,1.000000000
1501395763.620636225,-0.001302749,-2.857427597,0.214127243,0.007115217,-0.002245191,1.539124489,-2.834586859,-0.006014756,0.179999992,0.100000000,0.100000000,0.100000000,5.439000130,1.000000000,1.000000000
1501395763.636870384,-0.001302749,-2.857427597,0.214127243,0.007115217,-0.002245191,1.539124489,-2.834586859,-0.006014756,0.179999992,0.100000000,0.100000000,0.100000000,5.967999935,0.000000000,2.000000000
1501395763.653094530,-0.001377499,-2.857427120,0.214096203,0.007288173,-0.002169024,1.539095521,-2.834586859,-0.006014756,0.179999992,0.100000000,0.100000000,0.100000000,6.014999866,1.000000000,2.000000000
1501395763.668883085,-0.001377499,-2.857427120,0.214096203,0.007288173,-0.002169024,1.539095521,-2.840984821,-0.006100863,0.099999994,0.100000000,0.100000000,0.100000000,5.386000156,16.000000000,1.000000000
1501395763.684915066,-0.001401677,-2.857428551,0.214045852,0.006983249,-0.002061995,1.539220214,-2.840984821,-0.006100863,0.099999994,0.100000000,0.100000000,0.100000000,5.434000015,17.000000000,1.000000000
1501395763.700709581,-0.001401677,-2.857428551,0.214045852,0.006983249,-0.002061995,1.539220214,-2.840984821,-0.006100863,0.099999994,0.100000000,0.100000000,0.100000000,5.954999924,16.000000000,2.000000000
