t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRqstrId
1501405888.660713196,2.004390001,0.699182212,1.171071649,-0.000116900,0.000065841,-0.000028723,-0.006966134,0.003974323,1.563247681,-0.010506850,0.002822708,1.100000024,0.005864380,-0.003545456,0.019154593,0.000000000,0.000000000,0.000000000,95.850616455,2.848000050,0.000000000,2.000000000
1501405888.679722548,2.004407644,0.699151516,1.171035171,-0.000140505,0.000038934,-0.000105044,-0.007054780,0.003974107,1.563227654,-0.010506850,0.002822708,1.100000024,0.005864380,-0.003545456,0.019154593,0.000000000,0.000000000,0.000000000,95.965553284,2.513999939,1.000000000,2.000000000
1501405888.693057299,2.004407644,0.699151516,1.171035171,-0.000140505,0.000038934,-0.000105044,-0.007054780,0.003974107,1.563227654,-0.010506850,0.002822708,1.100000024,0.005864380,-0.003545456,0.019154593,0.000000000,0.000000000,0.000000000,95.965553284,2.384000063,16.000000000,1.000000000
1501405888.708900213,2.004433870,0.699139178,1.171076775,-0.000143506,0.000025246,-0.000094557,-0.007104379,0.003883308,1.563052297,0.654634595,-0.473681927,1.100000024,-0.002329625,0.001847422,0.001805781,0.000000000,0.000000000,0.000000000,96.063003540,2.769000053,17.000000000,1.000000000
1501405888.724728823,2.004433870,0.699139178,1.171076775,-0.000143506,0.000025246,-0.000094557,-0.007104379,0.003883308,1.563052297,0.654634595,-0.473681927,1.100000024,-0.002329625,0.001847422,0.001805781,0.000000000,0.000000000,0.000000000,96.063003540,3.533999920,16.000000000,2.000000000
1501405888.741086006,2.004495382,0.699104130,1.171126604,-0.000077195,-0.000024076,-0.000030781,-0.007112293,0.003951558,1.563014150,0.654634595,-0.473681927,1.100000024,-0.002329625,0.001847422,0.001805781,0.000000000,0.000000000,0.000000000,95.876541138,3.151999950,17.000000000,2.000000000
1501405888.772953510,2.004543066,0.699078739,1.171132922,0.000016286,-0.000097145,0.000014088,-0.007143225,0.003954521,1.563033462,2.511620998,4.241683006,1.100000024,0.004348514,-0.085953891,-0.011784643,0.000000000,0.000000000,0.000000000,95.876541138,2.073999882,0.000000000,1.000000000
1501405888.788847446,2.004419327,0.699159205,1.171042800,-0.000025461,-0.000061986,-0.000030857,-0.007162788,0.003944706,1.563014507,2.511620998,4.241683006,1.100000024,0.004348514,-0.085953891,-0.011784643,0.000000000,0.000000000,0.000000000,95.973381042,2.411000013,1.000000000,1.000000000
1501405888.805581093,2.004468679,0.699169576,1.171095252,-0.000005946,-0.000020959,-0.000010667,-0.006932548,0.003969248,1.563101053,2.628541708,2.086738348,1.100000024,-0.005131432,-0.147544831,0.543704152,0.000000000,0.000000000,0.000000000,95.973381042,2.805999994,0.000000000,2.000000000
1501405888.821333647,2.004468679,0.699169576,1.171095252,-0.000005946,-0.000020959,-0.000010667,-0.006932548,0.003969248,1.563101053,2.628541708,2.086738348,1.100000024,-0.005131432,-0.147544831,0.543704152,0.000000000,0.000000000,0.000000000,95.872024536,2.477999926,1.000000000,2.000000000
1501405888.836946964,2.004468679,0.699169576,1.171095252,-0.000005946,-0.000020959,-0.000010667,-0.006932548,0.003969248,1.563101053,2.628541708,2.086738348,1.100000024,-0.005131432,-0.147544831,0.543704152,0.000000000,0.000000000,0.000000000,95.872024536,2.374000072,16.000000000,1.000000000
1501405888.852960825,2.004468679,0.699169576,1.171095252,-0.000005946,-0.000020959,-0.000010667,-0.006932548,0.003969248,1.563101053,2.628541708,2.086738348,1.100000024,-0.005131432,-0.147544831,0.543704152,0.000000000,0.000000000,0.000000000,95.952270508,2.812999964,17.000000000,1.000000000
1501405888.869207382,2.004452705,0.699125946,1.171090364,-0.000007084,-0.000033919,0.000000851,-0.007003064,0.003811537,1.562999368,2.628541708,2.086738348,1.100000024,-0.005131432,-0.147544831,0.543704152,0.000000000,0.000000000,0.000000000,95.952270508,3.533999920,16.000000000,2.000000000
1501405888.885259390,2.004415751,0.699148178,1.171047091,-0.000047544,-0.000019985,-0.000036308,-0.007209037,0.003949887,1.563034892,2.697414637,2.110002756,1.090000033,0.001639869,-0.139383599,-0.000532493,0.000000000,0.000000000,0.000000000,95.892135620,3.154999971,17.000000000,2.000000000
1501405888.917001009,2.004483700,0.699120343,1.171114802,-0.000006485,-0.000038147,0.000006795,-0.007049249,0.003862124,1.562983871,2.697414637,2.110002756,1.090000033,0.001639869,-0.139383599,-0.000532493,0.000000000,0.000000000,0.000000000,96.009086609,2.082000017,0.000000000,1.000000000
1501405888.932905197,2.004483700,0.699120343,1.171114802,-0.000006485,-0.000038147,0.000006795,-0.007049249,0.003862124,1.562983871,2.706147432,2.629184246,1.090000033,0.021357678,0.024688207,0.015534254,0.000000000,0.000000000,0.000000000,96.009086609,2.408999920,1.000000000,1.000000000
1501405888.949200153,2.004483700,0.699120343,1.171114802,-0.000006485,-0.000038147,0.000006795,-0.007049249,0.003862124,1.562983871,2.706147432,2.629184246,1.090000033,0.021357678,0.024688207,0.015534254,0.000000000,0.000000000,0.000000000,96.006309509,2.844000101,0.000000000,2.000000000
1501405888.965298414,2.004408360,0.699137330,1.171042442,-0.000086627,-0.000035035,-0.000041053,-0.007132648,0.003871290,1.563048959,2.706147432,2.629184246,1.090000033,0.021357678,0.024688207,0.015534254,0.000000000,0.000000000,0.000000000,96.006309509,2.510999918,1.000000000,2.000000000
1501405888.980780363,2.004432917,0.699141204,1.171067595,-0.000030527,-0.000001641,-0.000035560,-0.007167547,0.003975124,1.563040614,2.706147432,2.629184246,1.090000033,0.021357678,0.024688207,0.015534254,0.000000000,0.000000000,0.000000000,95.845977783,2.371999979,16.000000000,1.000000000
1501405888.996720314,2.004432917,0.699141204,1.171067595,-0.000030527,-0.000001641,-0.000035560,-0.007167547,0.003975124,1.563040614,2.680681229,2.467477083,1.090000033,-0.001940202,-0.085713334,-1.076358676,0.000000000,0.000000000,0.000000000,95.845977783,2.813999891,17.000000000,1.000000000
1501405889.013291597,2.004465103,0.699133098,1.171062827,-0.000009105,-0.000007122,-0.000046672,-0.007135300,0.003903470,1.562949777,2.680681229,2.467477083,1.090000033,-0.001940202,-0.085713334,-1.076358676,0.000000000,0.000000000,0.000000000,95.980125427,3.048000097,16.000000000,2.000000000
1501405889.029275417,2.004465103,0.699133098,1.171062827,-0.000009105,-0.000007122,-0.000046672,-0.007135300,0.003903470,1.562949777,2.824691296,2.468998432,1.100000024,0.054085743,-0.079119600,-2.034112453,0.000000000,0.000000000,0.000000000,95.980125427,3.122999907,17.000000000,2.000000000
1501405889.061102152,2.004438639,0.699120820,1.171049714,-0.000030423,-0.000024499,-0.000074226,-0.007213692,0.003895339,1.562976122,2.824691296,2.468998432,1.100000024,0.054085743,-0.079119600,-2.034112453,0.000000000,0.000000000,0.000000000,95.931663513,2.043999910,0.000000000,1.000000000
1501405889.077339649,2.004438639,0.699120820,1.171049714,-0.000030423,-0.000024499,-0.000074226,-0.007213692,0.003895339,1.562976122,2.824691296,2.468998432,1.100000024,0.054085743,-0.079119600,-2.034112453,0.000000000,0.000000000,0.000000000,95.931663513,2.403000116,1.000000000,1.000000000
1501405889.092853069,2.004438639,0.699120820,1.171049714,-0.000030423,-0.000024499,-0.000074226,-0.007213692,0.003895339,1.562976122,2.714314699,2.509010553,1.100000024,0.001931226,-0.094202496,-2.065841913,0.000000000,0.000000000,0.000000000,95.974433899,2.845000029,0.000000000,2.000000000
1501405889.108877659,2.004444599,0.699161887,1.171076536,-0.000067866,0.000005323,-0.000093473,-0.006942719,0.003985364,1.563164830,2.714314699,2.509010553,1.100000024,0.001931226,-0.094202496,-2.065841913,0.000000000,0.000000000,0.000000000,95.807052612,2.525000095,1.000000000,2.000000000
1501405889.125138521,2.004444599,0.699161887,1.171076536,-0.000067866,0.000005323,-0.000093473,-0.006942719,0.003985364,1.563164830,2.714314699,2.509010553,1.100000024,0.001931226,-0.094202496,-2.065841913,0.000000000,0.000000000,0.000000000,95.807052612,2.352999926,16.000000000,1.000000000
1501405889.141067266,2.004502058,0.699159145,1.171098232,0.000021574,0.000062948,-0.000049990,-0.006981008,0.004055769,1.563119292,2.714314699,2.509010553,1.100000024,0.001931226,-0.094202496,-2.065841913,0.000000000,0.000000000,0.000000000,95.769348145,3.191999912,17.000000000,1.000000000
1501405889.156801462,2.004488230,0.699160635,1.171073675,0.000063090,0.000074373,-0.000036891,-0.007066327,0.004112812,1.563210249,2.733976364,2.398008585,1.090000033,0.002766494,-0.240807936,-1.921424866,0.000000000,0.000000000,0.000000000,95.769348145,3.525000095,16.000000000,2.000000000
1501405889.172815323,2.004488230,0.699160635,1.171073675,0.000063090,0.000074373,-0.000036891,-0.007066327,0.004112812,1.563210249,2.733976364,2.398008585,1.090000033,0.002766494,-0.240807936,-1.921424866,0.000000000,0.000000000,0.000000000,95.769348145,3.125000000,17.000000000,2.000000000
1501405889.204916239,2.004417181,0.699169219,1.171040177,-0.000023807,0.000082504,-0.000115684,-0.007117484,0.003919691,1.563001037,2.732715130,2.488364458,1.090000033,0.024461517,-0.051200483,-3.299591064,0.000000000,0.000000000,0.000000000,95.937355042,2.046999931,0.000000000,1.000000000
1501405889.236704111,2.004452229,0.699169695,1.171070218,0.000023585,0.000075252,-0.000036739,-0.007027213,0.003995705,1.563160896,2.732715130,2.488364458,1.090000033,0.024461517,-0.051200483,-3.299591064,0.000000000,0.000000000,0.000000000,95.897216797,2.848999977,0.000000000,2.000000000
1501405889.252828598,2.004452229,0.699169695,1.171070218,0.000023585,0.000075252,-0.000036739,-0.007027213,0.003995705,1.563160896,2.732715130,2.488364458,1.090000033,0.024461517,-0.051200483,-3.299591064,0.000000000,0.000000000,0.000000000,95.982856750,2.513000011,1.000000000,2.000000000
1501405889.269174814,2.004421473,0.699170470,1.171029687,-0.000009507,0.000087020,-0.000065810,-0.007074935,0.004002517,1.563173413,2.694571733,2.419863701,1.079999924,-0.016037293,-0.186177596,-2.969963551,0.000000000,0.000000000,0.000000000,95.982856750,2.392999887,16.000000000,1.000000000
1501405889.284939289,2.004473925,0.699151933,1.171095014,0.000021982,0.000084020,-0.000018411,-0.006940568,0.003995823,1.563143015,2.694571733,2.419863701,1.079999924,-0.016037293,-0.186177596,-2.969963551,0.000000000,0.000000000,0.000000000,95.781211853,2.796999931,17.000000000,1.000000000
1501405889.301072598,2.004473925,0.699151933,1.171095014,0.000021982,0.000084020,-0.000018411,-0.006940568,0.003995823,1.563143015,2.694571733,2.419863701,1.079999924,-0.016037293,-0.186177596,-2.969963551,0.000000000,0.000000000,0.000000000,95.781211853,3.207000017,16.000000000,2.000000000
1501405889.316640139,2.004436970,0.699130833,1.171056867,0.000005780,0.000046440,-0.000018724,-0.007122474,0.003872965,1.563029051,2.757602215,2.348351240,1.090000033,0.003111014,-0.308579087,-2.322056055,0.000000000,0.000000000,0.000000000,95.871826172,3.154999971,17.000000000,2.000000000
1501405889.349407911,2.004436970,0.699130833,1.171056867,0.000005780,0.000046440,-0.000018724,-0.007122474,0.003872965,1.563029051,2.757602215,2.348351240,1.090000033,0.003111014,-0.308579087,-2.322056055,0.000000000,0.000000000,0.000000000,95.717926025,2.076999903,0.000000000,1.000000000
1501405889.365188599,2.004434109,0.699151456,1.171079993,0.000018925,0.000045362,0.000036099,-0.006980179,0.003772781,1.562904716,2.721500635,2.390771389,1.090000033,0.002196947,-0.178646266,-2.990457535,0.000000000,0.000000000,0.000000000,95.717926025,2.413000107,1.000000000,1.000000000
1501405889.380616426,2.004473686,0.699161530,1.171088099,0.000062760,0.000015399,0.000097622,-0.006998293,0.003985549,1.563146830,2.721500635,2.390771389,1.090000033,0.002196947,-0.178646266,-2.990457535,0.000000000,0.000000000,0.000000000,95.799575806,2.848000050,0.000000000,2.000000000
1501405889.396887779,2.004473686,0.699161530,1.171088099,0.000062760,0.000015399,0.000097622,-0.006998293,0.003985549,1.563146830,2.721500635,2.390771389,1.090000033,0.002196947,-0.178646266,-2.990457535,0.000000000,0.000000000,0.000000000,95.799575806,2.519999981,1.000000000,2.000000000
1501405889.413173676,2.004473686,0.699161530,1.171088099,0.000062760,0.000015399,0.000097622,-0.006998293,0.003985549,1.563146830,2.708989382,2.285431385,1.090000033,-0.043389577,-0.383214831,-2.167080164,0.000000000,0.000000000,0.000000000,95.896850586,2.388000011,16.000000000,1.000000000
1501405889.429295778,2.004456758,0.699132323,1.171064734,0.000028172,-0.000023709,0.000059048,-0.007131951,0.003923219,1.562960148,2.708989382,2.285431385,1.090000033,-0.043389577,-0.383214831,-2.167080164,0.000000000,0.000000000,0.000000000,95.896850586,2.801000118,17.000000000,1.000000000
1501405889.444798946,2.004456758,0.699132323,1.171064734,0.000028172,-0.000023709,0.000059048,-0.007131951,0.003923219,1.562960148,2.708989382,2.285431385,1.090000033,-0.043389577,-0.383214831,-2.167080164,0.000000000,0.000000000,0.000000000,95.896850586,3.200000048,16.000000000,2.000000000
1501405889.460778713,2.004517794,0.699148715,1.171103597,0.000067957,-0.000039641,0.000047500,-0.007079052,0.004090243,1.563143492,2.822034836,2.259094238,1.090000033,0.013815125,-0.412180632,-1.697249293,0.000000000,0.000000000,0.000000000,96.075256348,3.148000002,17.000000000,2.000000000
1501405889.492908716,2.004472971,0.699138284,1.171046257,0.000049965,-0.000017145,0.000016315,-0.007153642,0.004026866,1.563176036,2.822034836,2.259094238,1.090000033,0.013815125,-0.412180632,-1.697249293,0.000000000,0.000000000,0.000000000,96.152954102,2.039000034,0.000000000,1.000000000
1501405889.508898735,2.004472971,0.699138284,1.171046257,0.000049965,-0.000017145,0.000016315,-0.007153642,0.004026866,1.563176036,2.822034836,2.259094238,1.090000033,0.013815125,-0.412180632,-1.697249293,0.000000000,0.000000000,0.000000000,96.152954102,2.411000013,1.000000000,1.000000000
1501405889.524676323,2.004472971,0.699138284,1.171046257,0.000049965,-0.000017145,0.000016315,-0.007153642,0.004026866,1.563176036,2.822034836,2.259094238,1.090000033,0.013815125,-0.412180632,-1.697249293,0.000000000,0.000000000,0.000000000,95.843513489,2.848000050,0.000000000,2.000000000
1501405889.541434526,2.004479408,0.699164212,1.171057582,0.000067914,0.000034277,-0.000003597,-0.007075694,0.004036330,1.563141823,2.792731047,2.427958727,1.090000033,-0.005745443,-0.122649170,-1.441465735,0.000000000,0.000000000,0.000000000,95.843513489,2.520999908,1.000000000,2.000000000
1501405889.588831663,2.004454851,0.699176610,1.171066761,0.000052029,0.000052999,-0.000005387,-0.007046171,0.004081776,1.563177943,2.805129290,2.269183874,1.090000033,-0.043488540,-0.418420762,-0.800026953,0.000000000,0.000000000,0.000000000,95.972885132,3.214999914,16.000000000,2.000000000
