t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, px4Lidar, px4Ro, px4Pi, px4Ya, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1502109954.024753571,-1.608887434,0.990178585,0.213256881,0.000016429,-0.000031676,-0.000006147,0.011263947,-0.007177679,1.588530898,0.000000000,0.000000000,0.110000000,0.000000000,0.000000000,-0.020000000,-0.023736478,0.031415927,-0.335103216,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.521699905,0.000000000,0.000000000,3.000000000
1502109954.049296141,-1.608887434,0.990178585,0.213256881,0.000016429,-0.000031676,-0.000006147,0.011263947,-0.007177679,1.588530898,0.000000000,0.000000000,0.110000000,0.000000000,0.000000000,-0.030000000,-0.023736478,0.031415927,-0.335103216,0.190000000,0.000000000,0.000000000,0.000000000,0.000000000,3.323400021,1.000000000,1.000000000,3.000000000
1502109954.074175358,-1.608882904,0.990186989,0.213285506,0.000025426,-0.000021668,0.000003137,0.011358792,-0.007149699,1.588521004,0.750000000,-0.040000000,0.180000000,0.000000000,0.000000000,0.000000000,-0.023736478,0.031415927,-0.335103216,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.752399921,1.000000000,0.000000000,3.000000000
1502109954.115056038,-1.608894587,0.990194499,0.213306293,0.000019113,-0.000005053,0.000022663,0.011254207,-0.007142157,1.588479280,1.070000000,6.470000000,0.370000000,0.000000000,0.000000000,0.000000000,-0.023736478,0.031415927,-0.335103216,0.070000000,0.000000000,0.000000000,0.000000000,0.000000000,3.158699989,0.000000000,1.000000000,3.000000000
1502109954.140107632,-1.608864427,0.990194082,0.213298082,0.000053587,0.000009892,0.000049735,0.011342832,-0.007093900,1.588455319,1.080000000,2.110000000,0.380000000,0.000000000,0.000000000,0.000000000,-0.023736478,0.031415927,-0.337895743,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.489700079,0.000000000,0.000000000,3.000000000
1502109954.165117264,-1.608908653,0.990203500,0.213292852,0.000025327,0.000030807,0.000054787,0.011270678,-0.007174758,1.588585138,1.150000000,2.050000000,0.390000000,0.000000000,0.000000000,0.070000000,-0.023736478,0.031415927,-0.336848546,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,3.325400114,1.000000000,1.000000000,3.000000000
1502109954.190267563,-1.608880877,0.990161479,0.213277057,0.000031613,0.000002137,0.000040910,0.011304776,-0.007198195,1.588469028,1.190000000,1.930000000,0.400000000,0.000000000,0.000000000,0.120000000,-0.023736478,0.031415927,-0.335975881,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.779400110,1.000000000,0.000000000,3.000000000
1502109954.231438160,-1.608887553,0.990188658,0.213306665,0.000026903,0.000011750,0.000049088,0.011307733,-0.007168473,1.588534832,1.260000000,1.860000000,0.260000000,0.000000000,0.000000000,-0.070000000,-0.023736478,0.031590459,-0.336848546,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,3.159699917,0.000000000,1.000000000,3.000000000
1502109954.256238222,-1.608889461,0.990201056,0.213287681,0.000012202,0.000041160,0.000059199,0.011346642,-0.007146235,1.588527799,1.260000000,1.860000000,0.250000000,0.000000000,0.000000000,-0.070000000,-0.023736478,0.031590459,-0.336848546,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.526700020,0.000000000,0.000000000,3.000000000
1502109954.281116486,-1.608889461,0.990201056,0.213287681,0.000012202,0.000041160,0.000059199,0.011346642,-0.007146235,1.588527799,1.310000000,1.830000000,0.190000000,0.000000000,0.000000000,-0.130000000,-0.023736478,0.031590459,-0.335801348,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.078999996,1.000000000,0.000000000,2.000000000
1502109954.281430483,-1.608889461,0.990201056,0.213287681,0.000012202,0.000041160,0.000059199,0.011346642,-0.007146235,1.588527799,1.310000000,1.830000000,0.190000000,0.000000000,0.000000000,-0.130000000,-0.023736478,0.031590459,-0.335801348,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.321399927,1.000000000,1.000000000,3.000000000
1502109954.306718349,-1.608883142,0.990179121,0.213272646,0.000013591,0.000023012,0.000027269,0.011347630,-0.007284245,1.588504672,1.340000000,1.820000000,0.070000000,0.000000000,0.000000000,-0.410000000,-0.023911011,0.031590459,-0.335626815,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,2.694999933,1.000000000,1.000000000,2.000000000
