t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, px4Ro, px4Pi, px4Ya, px4Lidar, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1502518682.614514828,-0.008770783,-1.858476520,0.206696182,0.000049345,0.000033634,0.000053514,0.005822618,0.009943944,1.541482329,0.000000000,0.000000000,0.130000000,0.000000000,0.000000000,0.000000000,-0.003316126,0.033161256,0.200712864,0.140000000,0.000000000,0.000000000,0.000000000,102.103797913,5.988999844,0.000000000,1.000000000,3.000000000
1502518682.639363289,-0.008708233,-1.858502626,0.206717283,0.000075623,0.000002669,0.000053547,0.006108013,0.010034390,1.541184306,0.000000000,0.000000000,0.130000000,0.000000000,0.000000000,0.000000000,-0.003316126,0.033161256,0.200712864,0.250000000,0.000000000,0.000000000,0.000000000,102.103797913,5.962999821,0.000000000,0.000000000,3.000000000
1502518682.664203167,-0.008743013,-1.858464956,0.206687957,0.000058269,0.000017800,0.000021029,0.005869512,0.009857007,1.541526794,-1.990000000,0.000000000,0.070000000,0.000000000,0.000000000,0.000000000,-0.003316126,0.033161256,0.200712864,0.130000000,0.000000000,0.000000000,0.000000000,102.173027039,5.880000114,1.000000000,1.000000000,3.000000000
1502518682.691409111,-0.008743013,-1.858464956,0.206687957,0.000058269,0.000017800,0.000021029,0.005869512,0.009857007,1.541526794,-1.950000000,0.000000000,0.070000000,0.000000000,0.000000000,0.000000000,-0.003316126,0.033161256,0.200712864,0.130000000,0.000000000,0.000000000,0.000000000,102.173027039,5.912000179,1.000000000,0.000000000,3.000000000
1502518682.732845783,-0.008739017,-1.858437300,0.206692070,0.000038433,0.000082703,-0.000010926,0.005704444,0.009904041,1.541543484,-1.850000000,1.120000000,0.090000000,0.000000000,0.000000000,0.010000000,-0.003316126,0.033161256,0.199840199,0.190000000,0.000000000,0.000000000,0.000000000,102.038681030,5.989999771,0.000000000,1.000000000,3.000000000
1502518682.755284071,-0.008762301,-1.858452439,0.206680417,0.000004388,0.000093904,-0.000040194,0.005928911,0.009971745,1.541341662,-1.850000000,1.120000000,0.090000000,0.000000000,0.000000000,0.010000000,-0.003490659,0.033161256,0.200014732,0.130000000,0.000000000,0.000000000,0.000000000,102.038681030,5.961999893,0.000000000,0.000000000,3.000000000
1502518682.780325174,-0.008762301,-1.858452439,0.206680417,0.000004388,0.000093904,-0.000040194,0.005928911,0.009971745,1.541341662,-1.900000000,1.080000000,0.120000000,0.000000000,0.000000000,0.050000000,-0.003490659,0.033161256,0.199491134,0.190000000,0.000000000,0.000000000,0.000000000,102.248016357,5.882999897,1.000000000,1.000000000,3.000000000
1502518682.805450201,-0.008721462,-1.858477712,0.206724882,0.000036884,0.000070352,-0.000015496,0.005978744,0.010071370,1.541203856,-1.870000000,1.090000000,0.130000000,0.000000000,0.000000000,0.100000000,-0.003490659,0.033161256,0.198793002,0.120000000,0.000000000,0.000000000,0.000000000,102.305641174,5.985000134,1.000000000,0.000000000,3.000000000
1502518682.846173525,-0.008719238,-1.858474255,0.206715956,0.000031443,0.000039642,-0.000007689,0.005972950,0.010072111,1.541452050,-1.840000000,0.980000000,0.140000000,0.000000000,0.000000000,0.160000000,-0.003316126,0.033161256,0.198094870,0.010000000,0.000000000,0.000000000,0.000000000,102.305641174,5.914000034,0.000000000,1.000000000,3.000000000
1502518682.876948357,-0.008742974,-1.858468771,0.206696123,0.000006034,0.000014958,-0.000015462,0.005934256,0.009957362,1.541387200,-1.850000000,0.980000000,0.160000000,0.000000000,0.000000000,0.180000000,-0.003316126,0.033161256,0.198094870,0.170000000,0.000000000,0.000000000,0.000000000,102.210083008,5.964000225,0.000000000,0.000000000,3.000000000
